province,subprovince code,subprovince
Punjab,1012,Islamabad
Punjab,1022,Attock
Punjab,1032,Rawalpindi
Punjab,1042,Jhelum
Punjab,1052,Chakwal
Punjab,1062,Sargodha
Punjab,1072,Bhakar
Punjab,1082,Khushab
Punjab,1092,Mianwali
Punjab,1102,Faisalabad
Punjab,1112,T.T.Singh
Punjab,1122,Jhang
Punjab,1132,Gujranwala
Punjab,1142,Gujrat
Punjab,1152,Sialkot
Punjab,1162,Haifzabad
Punjab,1172,Mandi Bahuddin
Punjab,1182,Narowal
Punjab,1192,Lahore
Punjab,1202,Kasur
Punjab,1212,Okara
Punjab,1222,Sheikhupura
Punjab,1232,Vehari
Punjab,1242,Sahiwal
Punjab,1252,Multan
Punjab,1262,Khanewal
Punjab,1272,Pakpatten
Punjab,1282,Lodhran
Punjab,1292,D.G.Khan
Punjab,1302,Rajaanpur
Punjab,1312,Layya
Punjab,1322,Muraffar Garh
Punjab,1332,Bahawalpur
Punjab,1342,Bahawalnager
Punjab,,Rahim Yar Khan
Sindh,2012,Khairpur
Sindh,2022,Sukkar
Sindh,2032,Nawabshah
Sindh,2042,Nowshero Freoze
Sindh,2052,Ghotki
Sindh,2062,Jaccobabad
Sindh,2072,Shikarpur
Sindh,2082,Larkana
Sindh,2092,Dadu
Sindh,2102,Hyderabad
Sindh,2112,Badin
Sindh,2122,Thatta
Sindh,2132,Sanghar
Sindh,2142,Mir Pur Khas
Sindh,2152,Tharparkar
Sindh,2162,Karachi
NWFP ,3012,Swat
NWFP ,3022,UpperDir
NWFP ,3032,LowerDir
NWFP ,3042,Chitral
NWFP ,3052,Shangla
NWFP ,3062,Malakand
NWFP ,3072,Bonair
NWFP ,3082,Charsada
NWFP ,3092,Nowshera
NWFP ,3102,Peshawar
NWFP ,3112,Kohat
NWFP ,3122,Karak
NWFP ,3132,Hangu
NWFP ,3142,Tank
NWFP ,3152,D.I.Khan
NWFP ,3162,Manshera
NWFP ,3172,Abbotabad
NWFP ,3182,Haripur
NWFP ,3192,Batagram
NWFP ,3202,Kohistan
NWFP ,3212,Mardan
NWFP ,3222,Swabi
NWFP ,3232,Bannu
NWFP ,3242,LakkiMarwat
Balochistan,4012,Quetta
Balochistan,4022,Sibbi
Balochistan,4032,Kalat
Balochistan,4042,Makran
Balochistan,4052,Zhob
Balochistan,4062,Nasirabad
Balochistan,4082,4082
Balochistan,4092,4092
Balochistan,4102,4102
Balochistan,4112,4112
Balochistan,4122,4122
Balochistan,4132,4132
Balochistan,4142,4142
Balochistan,4152,4152
Balochistan,4162,4162
Balochistan,4172,4172
Balochistan,4182,4182
Balochistan,4192,4192
Balochistan,4202,4202
Balochistan,4212,4212
Balochistan,4222,4222
Balochistan,4232,4232
Balochistan,4242,4242
Balochistan,4252,4252
Balochistan,4262,4262
,1091,Lahore
,1101,Faisalabad
,1111,Rawalpindi
,1121,Multan
,1131,Gujranwala
,1141,Sargodha
,1151,Sialkot
,1161,Bahawalpur
,1171,Islamabad
,2051,Karachi
,2061,Hyderabad
,2071,Sukkar
,3081,Peshawar
,4071,Quetta
,1011,Rawalpindi
,1021,Sargodha
,1031,Faisalabad
,1041,Gujranwala
,1051,Lahore
Punjab,1061,Multan
Punjab,1071,D.G.Khan
Punjab,1081,Bahawalpur
Sindh,2011,Sukkar
Sindh,2021,Larkana
Sindh,2031,Hyderabad
Sindh,2041,Mir Pur Khas
NWFP ,3011,Malakand
NWFP ,3021,Peshawar
NWFP ,3031,Kohat
NWFP ,3041,D.I.Khan
NWFP ,3051,Hzara
NWFP ,3061,Bannu
NWFP ,3071,Mardan
Balochistan,4011,Quetta
Balochistan,4021,Sibbi
Balochistan,4031,Kalat
Balochistan,4041,Makran
Balochistan,4051,Zhob
Balochistan,4061,Nasirabad
AJK,5002,Rural Areas
Northern Area,6002,Rural Areas
FATA,7002,Rural Areas
AJK,5001,Urban Areas
Northern Area,6001,Urban Areas
